signal_rank,primary_blocker,facility_id,unit_id,service_line,flagged_cases,recoverable_bed_hours,median_priority_score,mean_confidence,signal_family,actionability_score
21,transport delay,FAC_000,orthopedics,orthopedics,17,94.12,8.21,0.78,transport_discharge_logistics,151.03
22,home care confirmation wait,FAC_000,transitional_care,geriatrics,14,129.43,19.450000000000003,0.86,alc_community_capacity,149.64
23,transport delay,FAC_000,cardiac,cardiology,15,95.92999999999999,22.71,0.78,transport_discharge_logistics,143.29
24,transport delay,FAC_000,respiratory,respiratory,16,75.11,19.41,0.78,transport_discharge_logistics,141.18
25,home care confirmation wait,FAC_000,cardiac,cardiology,13,59.69,15.68,0.86,alc_community_capacity,118.29
26,ALC placement wait,FAC_000,surgical,surgery,7,129.38,40.68,0.9400000000000001,alc_community_capacity,114.37
27,radiology MRI access delay,FAC_000,acute_medicine,medicine,8,93.49,32.755,0.84,diagnostics_access,104.03
28,transport delay,FAC_000,surgical,surgery,12,9.79,20.060000000000002,0.7799999999999999,transport_discharge_logistics,94.48
29,transport delay,FAC_000,transitional_care,geriatrics,9,57.669999999999995,19.34,0.78,transport_discharge_logistics,93.06
30,unit-level bed-flow bottleneck,FAC_000,cardiac,cardiology,11,18.17,8.0,0.62,unit_flow_capacity,85.52
31,therapy assessment stall,FAC_000,orthopedics,orthopedics,8,33.12,25.1,0.82,care_team_assessment,80.63
32,radiology MRI access delay,FAC_000,respiratory,respiratory,4,76.89,50.230000000000004,0.84,diagnostics_access,78.59
33,therapy assessment stall,FAC_000,acute_medicine,medicine,6,60.82,25.405,0.82,care_team_assessment,78.4
34,unit-level bed-flow bottleneck,FAC_000,orthopedics,orthopedics,10,0.62,8.0,0.62,unit_flow_capacity,73.38
35,diagnostic sign-off stall,FAC_000,acute_medicine,medicine,5,59.42,35.92,0.72,diagnostics_access,72.74
36,therapy assessment stall,FAC_000,transitional_care,geriatrics,6,44.42,23.735,0.82,care_team_assessment,72.24
37,vulnerable patient porter wait,FAC_000,acute_medicine,medicine,6,40.16,17.64,0.81,vulnerable_patient_flow,69.05
38,radiology CT turnaround delay,FAC_000,surgical,surgery,5,46.96,28.97,0.82,diagnostics_access,68.44
39,radiology MRI access delay,FAC_000,orthopedics,orthopedics,5,30.96,18.5,0.8400000000000001,diagnostics_access,60.58
40,nurse discharge screening wait,FAC_000,surgical,surgery,4,38.68,32.46,0.8,nursing_discharge_readiness,60.05
41,diagnostic sign-off stall,FAC_000,respiratory,respiratory,5,30.24,23.2,0.72,diagnostics_access,59.34
42,nurse discharge screening wait,FAC_000,orthopedics,orthopedics,3,46.59,41.91,0.8000000000000002,nursing_discharge_readiness,59.18
43,blood testing turnaround delay,FAC_000,surgical,surgery,7,7.01,1.76,0.79,diagnostics_access,59.11
44,social work assessment wait,FAC_000,surgical,surgery,3,34.17,44.66,0.79,social_support_readiness,55.34
45,therapy assessment stall,FAC_000,respiratory,respiratory,4,33.52,14.455,0.82,care_team_assessment,54.11
46,nurse discharge screening wait,FAC_000,transitional_care,geriatrics,2,41.2,45.339999999999996,0.8,nursing_discharge_readiness,52.16
47,social work assessment wait,FAC_000,acute_medicine,medicine,3,28.369999999999997,37.27,0.79,social_support_readiness,51.47
48,social work assessment wait,FAC_000,transitional_care,geriatrics,2,33.1,53.01,0.79,social_support_readiness,51.06
49,ALC placement wait,FAC_000,orthopedics,orthopedics,1,28.4,69.92,0.94,alc_community_capacity,50.34
50,diagnostic sign-off stall,FAC_000,surgical,surgery,4,23.28,18.220000000000002,0.72,diagnostics_access,49.66
51,nurse discharge screening wait,FAC_000,acute_medicine,medicine,4,10.94,25.085,0.8,nursing_discharge_readiness,48.5
52,diagnostic sign-off stall,FAC_000,orthopedics,orthopedics,3,33.32,23.5,0.7200000000000001,diagnostics_access,48.5
53,therapy assessment stall,FAC_000,surgical,surgery,4,11.350000000000001,18.005,0.82,care_team_assessment,47.23
54,discharge documentation readiness wait,FAC_000,acute_medicine,medicine,3,31.89,18.14,0.75,documentation_readiness,47.2
55,radiology MRI access delay,FAC_000,surgical,surgery,3,18.08,22.35,0.84,diagnostics_access,45.04
56,blood testing turnaround delay,FAC_000,transitional_care,geriatrics,4,15.35,3.6500000000000004,0.79,diagnostics_access,44.5
57,radiology CT turnaround delay,FAC_000,orthopedics,orthopedics,4,15.03,1.33,0.82,diagnostics_access,44.35
58,blood testing turnaround delay,FAC_000,acute_medicine,medicine,4,13.45,5.455,0.79,diagnostics_access,44.29
59,nurse discharge screening wait,FAC_000,cardiac,cardiology,3,13.75,28.17,0.8000000000000002,nursing_discharge_readiness,44.26
60,radiology MRI access delay,FAC_000,transitional_care,geriatrics,3,17.04,18.18,0.84,diagnostics_access,43.63
61,radiology CT turnaround delay,FAC_000,respiratory,respiratory,3,9.86,27.1,0.82,diagnostics_access,42.99
62,nurse discharge screening wait,FAC_000,respiratory,respiratory,3,8.96,19.8,0.8000000000000002,nursing_discharge_readiness,40.49
63,vulnerable patient porter wait,FAC_000,orthopedics,orthopedics,3,4.12,21.5,0.81,vulnerable_patient_flow,39.4
64,vulnerable patient porter wait,FAC_000,cardiac,cardiology,2,17.96,22.81,0.81,vulnerable_patient_flow,38.57
65,ALC placement wait,FAC_000,cardiac,cardiology,2,7.4,28.04,0.94,alc_community_capacity,38.52
66,radiology CT turnaround delay,FAC_000,acute_medicine,medicine,3,0.7300000000000001,20.8,0.82,diagnostics_access,38.22
67,social work assessment wait,FAC_000,respiratory,respiratory,1,18.9,43.72,0.79,social_support_readiness,37.76
68,blood testing turnaround delay,FAC_000,orthopedics,orthopedics,3,6.14,11.4,0.79,diagnostics_access,37.22
69,pharmacy discharge delay,FAC_000,orthopedics,orthopedics,3,10.65,8.0,0.7399999999999999,pharmacy_discharge_readiness,37.05
70,pharmacy discharge delay,FAC_000,acute_medicine,medicine,3,0.26,20.87,0.7399999999999999,pharmacy_discharge_readiness,36.63
71,diagnostic sign-off stall,FAC_000,cardiac,cardiology,2,11.84,26.57,0.72,diagnostics_access,35.75
72,unit-level bed-flow bottleneck,FAC_000,respiratory,respiratory,3,7.91,14.89,0.62,unit_flow_capacity,35.65
73,triage screening backlog,FAC_000,transitional_care,geriatrics,2,11.75,16.62,0.76,front_door_screening,33.95
74,ECG availability delay,FAC_000,orthopedics,orthopedics,3,3.23,0.3,0.7799999999999999,diagnostics_access,33.25
75,blood testing turnaround delay,FAC_000,respiratory,respiratory,3,1.1400000000000001,1.2,0.79,diagnostics_access,32.92
76,social work assessment wait,FAC_000,cardiac,cardiology,2,10.94,10.16,0.79,social_support_readiness,32.59
77,radiology MRI access delay,FAC_000,cardiac,cardiology,1,3.43,34.46,0.84,diagnostics_access,30.94
78,discharge documentation readiness wait,FAC_000,transitional_care,geriatrics,2,0.0,20.365000000000002,0.75,documentation_readiness,30.59
79,pharmacy discharge delay,FAC_000,surgical,surgery,2,2.5900000000000003,16.975,0.74,pharmacy_discharge_readiness,30.47
80,vulnerable patient porter wait,FAC_000,surgical,surgery,2,2.16,11.125,0.81,vulnerable_patient_flow,30.12
81,radiology CT turnaround delay,FAC_000,transitional_care,geriatrics,1,6.26,28.13,0.82,diagnostics_access,29.98
82,radiology ultrasound turnaround delay,FAC_000,orthopedics,orthopedics,1,7.28,27.01,0.8,diagnostics_access,29.7
83,ECG availability delay,FAC_000,acute_medicine,medicine,1,4.79,29.21,0.78,diagnostics_access,29.02
84,triage screening backlog,FAC_000,surgical,surgery,2,5.15,4.78,0.76,front_door_screening,28.68
85,discharge documentation readiness wait,FAC_000,respiratory,respiratory,2,0.25,10.695,0.75,documentation_readiness,28.26
86,unit-level bed-flow bottleneck,FAC_000,surgical,surgery,2,3.67,11.41,0.62,unit_flow_capacity,27.3
87,vulnerable patient porter wait,FAC_000,respiratory,respiratory,1,7.02,13.03,0.81,vulnerable_patient_flow,26.29
88,ECG availability delay,FAC_000,cardiac,cardiology,1,2.02,21.14,0.78,diagnostics_access,26.03
89,social work assessment wait,FAC_000,orthopedics,orthopedics,1,0.0,21.82,0.79,social_support_readiness,25.68
90,radiology ultrasound turnaround delay,FAC_000,transitional_care,geriatrics,1,0.0,18.04,0.8,diagnostics_access,24.91
91,blood testing turnaround delay,FAC_000,cardiac,cardiology,1,5.34,9.91,0.79,diagnostics_access,24.57
92,triage screening backlog,FAC_000,orthopedics,orthopedics,1,2.73,13.08,0.76,front_door_screening,23.91
93,triage screening backlog,FAC_000,acute_medicine,medicine,1,4.12,7.66,0.76,front_door_screening,23.04
94,radiology ultrasound turnaround delay,FAC_000,cardiac,cardiology,1,2.33,4.32,0.8,diagnostics_access,22.3
95,pharmacy discharge delay,FAC_000,cardiac,cardiology,1,3.55,6.59,0.74,pharmacy_discharge_readiness,22.21
96,discharge documentation readiness wait,FAC_000,surgical,surgery,1,2.43,4.5,0.75,documentation_readiness,21.48
97,triage screening backlog,FAC_000,respiratory,respiratory,1,2.05,3.82,0.76,front_door_screening,21.35
98,interpreter availability wait,FAC_000,acute_medicine,medicine,1,2.33,4.34,0.74,social_support_readiness,21.22
99,ECG availability delay,FAC_000,respiratory,respiratory,1,0.17,0.32,0.78,diagnostics_access,20.18
100,unit-level bed-flow bottleneck,FAC_000,transitional_care,geriatrics,1,0.0,8.0,0.62,unit_flow_capacity,19.16
