shift_date,shift_name,signal_family,primary_blocker,flagged_cases,affected_facilities,affected_units,affected_service_lines,recoverable_bed_hours,median_priority_score,mean_confidence,management_score,recommended_owner,recommended_management_action,signal_group_rank
2026-01-10,evening,diagnostics_access,diagnostic sign-off stall,1,FAC_000,acute_medicine,medicine,2.36,31.11,0.72,34.68,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-10,night,transport_discharge_logistics,transport delay,1,FAC_000,respiratory,respiratory,31.4,66.61,0.78,58.14,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-11,day,diagnostics_access,radiology MRI access delay,2,FAC_000,"respiratory, surgical","respiratory, surgery",80.35,74.935,0.84,91.42,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-11,day,transport_discharge_logistics,transport delay,2,FAC_000,"respiratory, surgical","respiratory, surgery",64.19,68.17500000000001,0.78,81.73,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-11,day,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,52.18,97.26,0.86,77.25,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,3
2026-01-11,day,unattributed,unattributed operational delay,2,FAC_000,"respiratory, transitional_care","geriatrics, respiratory",24.52,44.28,0.45,52.09,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,4
2026-01-11,evening,diagnostics_access,radiology CT turnaround delay,1,FAC_000,acute_medicine,medicine,6.68,33.64,0.82,39.16,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",1
2026-01-11,night,transport_discharge_logistics,transport delay,3,FAC_000,"respiratory, surgical, transitional_care","geriatrics, respiratory, surgery",53.95,21.44,0.7799999999999999,73.61,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-11,night,diagnostics_access,radiology CT turnaround delay,1,FAC_000,respiratory,respiratory,29.09,68.73,0.82,58.66,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-11,night,diagnostics_access,diagnostic sign-off stall,1,FAC_000,cardiac,cardiology,24.87,54.14,0.72,50.59,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-11,night,alc_community_capacity,home care confirmation wait,1,FAC_000,transitional_care,geriatrics,11.92,44.07,0.86,45.19,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-12,day,diagnostics_access,radiology CT turnaround delay,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",83.38,74.81,0.82,92.2,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",1
2026-01-12,day,transport_discharge_logistics,transport delay,2,FAC_000,"respiratory, transitional_care","geriatrics, respiratory",23.95,42.540000000000006,0.78,57.94,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-12,day,diagnostics_access,diagnostic sign-off stall,1,FAC_000,respiratory,respiratory,25.49,66.66,0.72,54.59,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-12,day,alc_community_capacity,home care confirmation wait,1,FAC_000,acute_medicine,medicine,1.53,41.17,0.86,40.16,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-12,evening,diagnostics_access,diagnostic sign-off stall,2,FAC_000,"acute_medicine, surgical","medicine, surgery",56.510000000000005,62.964999999999996,0.72,75.89,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,1
2026-01-12,evening,diagnostics_access,radiology CT turnaround delay,1,FAC_000,acute_medicine,medicine,4.56,26.91,0.82,36.3,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-12,night,unattributed,unattributed operational delay,3,FAC_000,"cardiac, respiratory, transitional_care","cardiology, geriatrics, respiratory",68.7,30.1,0.45,75.51,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-12,night,diagnostics_access,diagnostic sign-off stall,1,FAC_000,transitional_care,geriatrics,45.9,84.15,0.72,68.0,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,2
2026-01-12,night,alc_community_capacity,home care confirmation wait,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",15.23,36.99,0.86,54.39,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,3
2026-01-13,day,diagnostics_access,radiology ultrasound turnaround delay,2,FAC_000,"orthopedics, transitional_care","geriatrics, orthopedics",29.11,46.66,0.8,61.64,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,1
2026-01-13,day,diagnostics_access,diagnostic sign-off stall,3,FAC_000,"respiratory, surgical","respiratory, surgery",8.3,34.63,0.7200000000000001,58.11,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,2
2026-01-13,day,transport_discharge_logistics,transport delay,1,FAC_000,surgical,surgery,2.55,22.97,0.78,33.51,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-13,evening,diagnostics_access,radiology MRI access delay,1,FAC_000,cardiac,cardiology,6.92,42.12,0.84,42.2,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-13,evening,diagnostics_access,blood testing turnaround delay,1,FAC_000,respiratory,respiratory,5.88,38.23,0.79,39.62,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",2
2026-01-13,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,transitional_care,geriatrics,3.87,29.38,0.88,37.96,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,3
2026-01-13,night,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,51.74,90.25,0.45,66.77,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-13,night,alc_community_capacity,home care confirmation wait,3,FAC_000,acute_medicine,medicine,16.55,32.48,0.86,63.56,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-13,night,diagnostics_access,radiology MRI access delay,1,FAC_000,respiratory,respiratory,21.01,56.85,0.84,52.26,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,3
2026-01-13,night,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,transitional_care,geriatrics,4.34,36.74,0.88,40.36,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,4
2026-01-13,night,transport_discharge_logistics,transport delay,1,FAC_000,acute_medicine,medicine,9.17,32.99,0.78,39.16,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,5
2026-01-14,day,diagnostics_access,radiology ultrasound turnaround delay,1,FAC_000,acute_medicine,medicine,88.36,135.65,0.8,102.04,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,1
2026-01-14,day,diagnostics_access,radiology MRI access delay,1,FAC_000,transitional_care,geriatrics,74.08,112.51,0.84,90.18,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-14,day,diagnostics_access,diagnostic sign-off stall,1,FAC_000,surgical,surgery,27.4,70.38,0.72,56.47,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-14,day,diagnostics_access,blood testing turnaround delay,1,FAC_000,respiratory,respiratory,19.63,41.63,0.79,46.14,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",4
2026-01-14,day,alc_community_capacity,home care confirmation wait,1,FAC_000,transitional_care,geriatrics,13.67,40.54,0.86,44.83,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,5
2026-01-14,evening,alc_community_capacity,home care confirmation wait,2,FAC_000,"acute_medicine, orthopedics","medicine, orthopedics",56.81,57.375,0.86,77.14,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-14,evening,unattributed,unattributed operational delay,1,FAC_000,transitional_care,geriatrics,37.14,75.65,0.45,56.55,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-14,evening,diagnostics_access,blood testing turnaround delay,1,FAC_000,respiratory,respiratory,22.85,45.75,0.79,48.67,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",3
2026-01-14,evening,transport_discharge_logistics,transport delay,1,FAC_000,surgical,surgery,16.86,49.03,0.78,47.05,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,4
2026-01-14,night,diagnostics_access,ECG availability delay,1,FAC_000,cardiac,cardiology,29.64,69.93,0.78,58.44,cardiology_diagnostics_lead,Review ECG completion queue and interpretation handoff for discharge-dependent case.,1
2026-01-14,night,diagnostics_access,radiology CT turnaround delay,1,FAC_000,transitional_care,geriatrics,25.17,68.85,0.82,57.12,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-14,night,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,transitional_care,geriatrics,24.32,49.35,0.88,52.13,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,3
2026-01-14,night,alc_community_capacity,home care confirmation wait,2,FAC_000,"cardiac, orthopedics","cardiology, orthopedics",1.82,15.395000000000001,0.86,42.55,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-15,day,transport_discharge_logistics,transport delay,1,FAC_000,acute_medicine,medicine,28.5,71.22,0.78,58.37,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-15,evening,unattributed,unattributed operational delay,2,FAC_000,"orthopedics, surgical","orthopedics, surgery",69.4,74.57000000000001,0.45,79.13,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-15,evening,transport_discharge_logistics,transport delay,1,FAC_000,orthopedics,orthopedics,33.81,61.13,0.78,57.46,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-15,evening,diagnostics_access,diagnostic sign-off stall,2,FAC_000,"respiratory, surgical","respiratory, surgery",0.36,15.23,0.72,39.11,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-15,evening,diagnostics_access,radiology MRI access delay,1,FAC_000,orthopedics,orthopedics,5.82,28.85,0.84,37.78,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,4
2026-01-15,night,diagnostics_access,radiology MRI access delay,2,FAC_000,"cardiac, transitional_care","cardiology, geriatrics",89.4,73.745,0.84,94.68,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-15,night,alc_community_capacity,home care confirmation wait,2,FAC_000,acute_medicine,medicine,27.200000000000003,35.795,0.86,58.82,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-15,night,diagnostics_access,blood testing turnaround delay,2,FAC_000,acute_medicine,medicine,8.12,40.44,0.79,51.18,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",3
2026-01-15,night,diagnostics_access,ECG availability delay,1,FAC_000,acute_medicine,medicine,22.18,49.59,0.78,49.35,cardiology_diagnostics_lead,Review ECG completion queue and interpretation handoff for discharge-dependent case.,4
2026-01-15,night,diagnostics_access,radiology ultrasound turnaround delay,1,FAC_000,respiratory,respiratory,0.12,26.01,0.8,33.85,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,5
2026-01-16,day,diagnostics_access,diagnostic sign-off stall,1,FAC_000,acute_medicine,medicine,0.34,35.83,0.72,35.28,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,1
2026-01-16,evening,diagnostics_access,radiology MRI access delay,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",43.010000000000005,53.045,0.84,69.92,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-16,evening,unattributed,unattributed operational delay,2,FAC_000,respiratory,respiratory,3.37,25.525,0.45,38.01,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-16,evening,diagnostics_access,diagnostic sign-off stall,1,FAC_000,surgical,surgery,1.35,25.72,0.72,32.66,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-16,night,transport_discharge_logistics,transport delay,2,FAC_000,"acute_medicine, respiratory","medicine, respiratory",33.33,51.81,0.78,64.47,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-16,night,diagnostics_access,radiology MRI access delay,1,FAC_000,orthopedics,orthopedics,27.08,63.34,0.84,56.63,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-17,day,alc_community_capacity,home care confirmation wait,1,FAC_000,surgical,surgery,42.95,82.19,0.86,69.04,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-17,day,transport_discharge_logistics,transport delay,2,FAC_000,respiratory,respiratory,23.08,45.58,0.78,58.51,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-17,day,diagnostics_access,ECG availability delay,1,FAC_000,respiratory,respiratory,29.0,65.73,0.78,56.92,cardiology_diagnostics_lead,Review ECG completion queue and interpretation handoff for discharge-dependent case.,3
2026-01-17,evening,diagnostics_access,radiology MRI access delay,2,FAC_000,"orthopedics, surgical","orthopedics, surgery",50.870000000000005,70.205,0.84,78.21,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-17,evening,diagnostics_access,blood testing turnaround delay,1,FAC_000,orthopedics,orthopedics,29.58,75.17,0.79,60.18,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",2
2026-01-17,evening,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,10.55,49.56,0.45,38.09,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,3
2026-01-17,night,diagnostics_access,radiology ultrasound turnaround delay,1,FAC_000,respiratory,respiratory,1.72,35.42,0.8,37.31,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,1
2026-01-18,day,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,72.49,119.21,0.86,91.96,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-18,day,diagnostics_access,radiology CT turnaround delay,1,FAC_000,respiratory,respiratory,20.71,60.31,0.82,52.78,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-18,evening,unattributed,unattributed operational delay,4,FAC_000,"acute_medicine, surgical","medicine, surgery",62.49,33.725,0.45,84.11,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-18,evening,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,10.29,43.65,0.86,44.41,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-18,night,diagnostics_access,radiology CT turnaround delay,2,FAC_000,"respiratory, surgical","respiratory, surgery",12.120000000000001,37.855000000000004,0.82,52.6,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",1
2026-01-18,night,diagnostics_access,radiology MRI access delay,1,FAC_000,acute_medicine,medicine,17.17,50.77,0.84,48.9,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-19,day,diagnostics_access,diagnostic sign-off stall,1,FAC_000,orthopedics,orthopedics,66.41,106.34,0.72,82.87,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,1
2026-01-19,day,diagnostics_access,radiology MRI access delay,1,FAC_000,surgical,surgery,31.6,71.11,0.84,60.77,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-19,day,diagnostics_access,radiology ultrasound turnaround delay,1,FAC_000,surgical,surgery,23.12,42.95,0.8,48.13,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,3
2026-01-19,day,alc_community_capacity,home care confirmation wait,1,FAC_000,orthopedics,orthopedics,7.19,38.82,0.86,41.72,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-19,evening,alc_community_capacity,home care confirmation wait,3,FAC_000,"acute_medicine, orthopedics, respiratory","medicine, orthopedics, respiratory",46.59,30.38,0.86,74.95,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-19,evening,diagnostics_access,radiology MRI access delay,1,FAC_000,orthopedics,orthopedics,36.77,90.39,0.84,68.62,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-19,evening,diagnostics_access,diagnostic sign-off stall,1,FAC_000,acute_medicine,medicine,32.84,63.41,0.72,56.56,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,3
2026-01-19,night,diagnostics_access,radiology CT turnaround delay,1,FAC_000,respiratory,respiratory,93.75,141.3,0.82,106.29,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",1
2026-01-19,night,unattributed,unattributed operational delay,2,FAC_000,"acute_medicine, surgical","medicine, surgery",7.15,21.34,0.45,38.26,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-19,night,diagnostics_access,blood testing turnaround delay,1,FAC_000,surgical,surgery,5.58,27.21,0.79,36.2,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",3
2026-01-20,day,unattributed,unattributed operational delay,4,FAC_000,"acute_medicine, cardiac, surgical, transitional_care","cardiology, geriatrics, medicine, surgery",64.59,41.575,0.45,87.31,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-20,day,alc_community_capacity,home care confirmation wait,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",57.01,55.735,0.86,76.72,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-20,day,nursing_discharge_readiness,nurse discharge screening wait,1,FAC_000,orthopedics,orthopedics,31.25,79.32,0.8,62.3,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,3
2026-01-20,day,transport_discharge_logistics,transport delay,1,FAC_000,acute_medicine,medicine,6.7,32.25,0.78,37.96,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,4
2026-01-20,evening,diagnostics_access,radiology MRI access delay,2,FAC_000,orthopedics,orthopedics,81.3,75.885,0.84,92.09,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-20,evening,weekend_flow_gap,Friday/weekend discharge gap,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",76.64,71.32,0.88,89.65,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,2
2026-01-20,evening,transport_discharge_logistics,transport delay,1,FAC_000,respiratory,respiratory,0.07,23.03,0.78,32.54,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-20,night,unattributed,unattributed operational delay,1,FAC_000,transitional_care,geriatrics,75.17,112.15,0.45,82.71,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-20,night,diagnostics_access,radiology MRI access delay,1,FAC_000,cardiac,cardiology,31.73,66.79,0.84,59.53,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,2
2026-01-20,night,transport_discharge_logistics,transport delay,2,FAC_000,surgical,surgery,7.44,25.075,0.78,46.1,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-21,day,diagnostics_access,ECG availability delay,1,FAC_000,cardiac,cardiology,81.39,141.09,0.78,100.48,cardiology_diagnostics_lead,Review ECG completion queue and interpretation handoff for discharge-dependent case.,1
2026-01-21,day,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,respiratory,respiratory,33.35,61.04,0.88,59.25,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,2
2026-01-21,day,diagnostics_access,radiology MRI access delay,1,FAC_000,transitional_care,geriatrics,33.3,59.64,0.84,58.01,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,3
2026-01-21,day,alc_community_capacity,home care confirmation wait,2,FAC_000,"cardiac, transitional_care","cardiology, geriatrics",7.56,29.814999999999998,0.86,49.17,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-21,day,transport_discharge_logistics,transport delay,2,FAC_000,"orthopedics, transitional_care","geriatrics, orthopedics",7.2,28.455,0.78,47.02,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,5
2026-01-21,evening,diagnostics_access,blood testing turnaround delay,1,FAC_000,cardiac,cardiology,69.09,106.82,0.79,85.48,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",1
2026-01-21,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,acute_medicine,medicine,58.88,89.85,0.88,78.11,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,2
2026-01-21,evening,transport_discharge_logistics,transport delay,1,FAC_000,acute_medicine,medicine,37.57,69.55,0.78,61.49,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-21,night,transport_discharge_logistics,transport delay,1,FAC_000,acute_medicine,medicine,60.04,100.74,0.78,79.84,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-21,night,weekend_flow_gap,Friday/weekend discharge gap,2,FAC_000,"acute_medicine, orthopedics","medicine, orthopedics",38.7,62.22,0.88,71.75,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,2
2026-01-21,night,alc_community_capacity,home care confirmation wait,1,FAC_000,acute_medicine,medicine,46.47,77.23,0.86,68.96,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,3
2026-01-21,night,diagnostics_access,ECG availability delay,1,FAC_000,acute_medicine,medicine,12.45,45.41,0.78,44.2,cardiology_diagnostics_lead,Review ECG completion queue and interpretation handoff for discharge-dependent case.,4
2026-01-21,night,diagnostics_access,radiology CT turnaround delay,1,FAC_000,respiratory,respiratory,5.33,37.77,0.82,39.86,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",5
2026-01-22,day,unattributed,unattributed operational delay,2,FAC_000,surgical,surgery,46.72,58.16,0.45,65.14,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-22,day,diagnostics_access,blood testing turnaround delay,1,FAC_000,acute_medicine,medicine,34.41,68.0,0.79,59.96,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",2
2026-01-22,day,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,cardiac,cardiology,29.46,66.66,0.88,59.38,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,3
2026-01-22,day,diagnostics_access,diagnostic sign-off stall,1,FAC_000,cardiac,cardiology,30.71,74.38,0.72,59.0,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,4
2026-01-22,evening,diagnostics_access,diagnostic sign-off stall,2,FAC_000,acute_medicine,medicine,19.26,35.155,0.72,52.65,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,1
2026-01-22,evening,alc_community_capacity,home care confirmation wait,2,FAC_000,transitional_care,geriatrics,11.06,31.02,0.86,50.93,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-22,night,transport_discharge_logistics,transport delay,2,FAC_000,"orthopedics, transitional_care","geriatrics, orthopedics",57.39,59.80500000000001,0.78,76.5,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-22,night,diagnostics_access,radiology CT turnaround delay,1,FAC_000,transitional_care,geriatrics,33.16,61.97,0.82,58.26,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-22,night,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,acute_medicine,medicine,22.19,58.49,0.88,54.02,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,3
2026-01-22,night,alc_community_capacity,home care confirmation wait,2,FAC_000,"acute_medicine, respiratory","medicine, respiratory",9.89,34.51,0.86,51.51,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,4
2026-01-22,night,diagnostics_access,diagnostic sign-off stall,1,FAC_000,acute_medicine,medicine,4.77,33.65,0.72,36.4,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,5
2026-01-23,day,transport_discharge_logistics,transport delay,2,FAC_000,"respiratory, surgical","respiratory, surgery",129.49,115.77000000000001,0.78,122.13,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-23,day,unattributed,unattributed operational delay,2,FAC_000,"cardiac, orthopedics","cardiology, orthopedics",49.16,55.959999999999994,0.45,65.45,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-23,evening,unattributed,unattributed operational delay,2,FAC_000,"acute_medicine, orthopedics","medicine, orthopedics",86.1,83.32,0.45,88.44,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-23,night,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,3.28,6.09,0.45,22.14,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-24,day,diagnostics_access,radiology ultrasound turnaround delay,2,FAC_000,"orthopedics, surgical","orthopedics, surgery",66.53,76.475,0.8,85.55,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,1
